,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region,Still admitted
4,48,2,80,03/11/2020,0,0,ICT,2
5,61,0,95,03/11/2020,0,0,Punjab,0
6,84,14,171,03/11/2020,1,0,Sindh,13
7,20,0,28,03/11/2020,0,0,KP,0
8,3,0,0,03/11/2020,0,0,KPTD,0
9,19,1,18,03/11/2020,0,0,Balochistan,1
10,3,0,4,03/11/2020,0,0,AJK,0
11,10,2,26,03/11/2020,0,0,GB,2
4,52,2,85,03/12/2020,0,0,ICT,2
5,67,0,105,03/12/2020,0,0,Punjab,0
6,89,14,198,03/12/2020,2,0,Sindh,12
7,24,0,29,03/12/2020,0,0,KP,0
8,3,0,0,03/12/2020,0,0,KPTD,0
9,23,1,18,03/12/2020,0,0,Balochistan,1
10,3,0,8,03/12/2020,0,0,AJK,0
11,10,3,28,03/12/2020,0,0,GB,3
4,57,2,92,03/13/2020,0,0,ICT,2
5,71,0,110,03/13/2020,0,0,Punjab,0
6,107,15,240,03/13/2020,2,0,Sindh,13
7,27,0,30,03/13/2020,0,0,KP,0
8,4,0,0,03/13/2020,0,0,KPTD,0
9,31,1,18,03/13/2020,0,0,Balochistan,1
10,4,0,9,03/13/2020,0,0,AJK,0
11,17,3,32,03/13/2020,0,0,GB,3
4,62,3,99,03/14/2020,0,0,ICT,3
5,77,0,116,03/14/2020,0,0,Punjab,0
6,119,16,282,03/14/2020,3,0,Sindh,13
7,29,0,31,03/14/2020,0,0,KP,0
8,4,0,0,03/14/2020,0,0,KPTD,0
9,45,6,35,03/14/2020,0,0,Balochistan,6
10,4,0,10,03/14/2020,0,0,AJK,0
11,23,3,36,03/14/2020,0,0,GB,3
4,65,4,115,03/15/2020,0,0,ICT,4
5,83,0,126,03/15/2020,0,0,Punjab,0
6,127,18,315,03/15/2020,3,0,Sindh,15
7,30,0,32,03/15/2020,0,0,KP,0
8,5,0,0,03/15/2020,0,0,KPTD,0
9,45,6,42,03/15/2020,0,0,Balochistan,6
10,4,0,11,03/15/2020,0,0,AJK,0
11,23,3,45,03/15/2020,0,0,GB,3
4,69,4,147,03/16/2020,0,0,ICT,4
5,95,1,166,03/16/2020,0,0,Punjab,1
6,135,34,364,03/16/2020,3,0,Sindh,32
7,36,0,32,03/16/2020,0,0,KP,0
8,5,0,0,03/16/2020,0,0,KPTD,0
9,70,5,40,03/16/2020,0,0,Balochistan,10
10,9,0,11,03/16/2020,0,0,AJK,0
11,23,3,45,03/16/2020,0,0,GB,3
12,0,6,28,03/16/2020,0,0,Mobile Lab,0
4,76,4,581,17-Mar-2020,1,0,ICT,3
5,112,1,166,03/17/2020,0,0,Punjab,1
7,140,150,554,03/17/2020,3,0,Sindh,147
8,52,15,51,03/17/2020,0,0,KP,15
9,5,0,0,03/17/2020,0,0,KPTD,0
10,103,14,163,03/17/2020,0,0,Balochistan,14
11,20,0,11,03/17/2020,0,0,AJK,0
12,25,3,45,03/17/2020,0,0,GB,3
4,84,8,627,03/18/2020,1,0,ICT,3
5,129,26,133,03/18/2020,0,0,Punjab,26
6,151,172,606,03/18/2020,3,0,Sindh,169
7,58,17,42,03/18/2020,0,0,KP,17
8,6,0,0,03/18/2020,0,0,KPTD,0
9,134,15,151,03/18/2020,0,0,Balochistan,15
10,21,0,11,03/18/2020,0,0,AJK,0
11,29,3,51,03/18/2020,0,0,GB,5
4,103,5,184,19-Mar-2020,2,0,ICT,3
5,158,33,254,03/19/2020,0,0,Punjab,33
6,173,208,908,03/19/2020,3,0,Sindh,205
7,72,19,67,03/19/2020,0,2,KP,17
8,7,0,0,03/19/2020,0,0,KPTD,0
9,134,23,637,03/19/2020,0,0,Balochistan,23
11,23,1,23,03/19/2020,0,0,AJK,1
12,64,13,90,03/19/2020,0,0,GB,11
4,137,10,277,03/20/2020,2,0,ICT,8
5,182,80,872,20-Mar-2020,0,0,Punjab,80
6,182,245,1210,03/20/2020,3,0,Sindh,242
7,94,23,67,03/20/2020,0,2,KP,21
8,19,0,0,03/20/2020,0,0,KPTD,0
9,650,81,805,03/20/2020,0,0,Balochistan,81
10,36,1,36,03/20/2020,0,0,AJK,1
11,64,21,143,03/20/2020,0,0,GB,21
4,171,11,325,21-Mar-2020,2,0,ICT,9
5,196,96,894,21-Mar-2020,0,0,Punjab,96
6,210,253,1497,03/21/2020,3,1,Sindh,249
7,130,23,130,03/21/2020,0,2,KP,21
8,21,0,0,03/21/2020,0,0,KPTD,0
9,698,81,805,03/21/2020,0,0,Balochistan,81
10,40,1,40,21-Mar-2020,0,0,AJK,1
11,310,30,310,03/21/2020,0,0,GB,30
4,188,11,366,03/22/2020,2,0,ICT,9
5,246,152,1361,03/22/2020,0,0,Punjab,152
6,232,396,1497,03/22/2020,3,1,Sindh,392
7,155,31,264,03/22/2020,0,2,KP,29
8,21,0,0,03/22/2020,0,0,KPTD,0
9,1380,104,1380,03/22/2020,0,0,Balochistan,104
10,42,1,42,03/22/2020,0,0,AJK,1
11,310,55,315,03/22/2020,0,0,GB,55
4,198,15,404,23-Mar-2020,2,0,ICT,13
5,257,225,1436,03/23/2020,0,0,Punjab,225
6,232,333,1512,03/23/2020,4,1,Sindh,328
8,196,31,305,03/23/2020,0,3,KP,28
9,1405,108,1405,03/23/2020,0,1,Balochistan,107
10,44,1,44,03/23/2020,0,0,AJK,1
11,310,71,338,03/23/2020,0,0,GB,71
5,226,15,427,03/24/2020,2,0,ICT,13
6,257,249,1436,03/24/2020,0,0,Punjab,249
8,232,394,1579,24-Mar-2020,4,1,Sindh,389
10,431,38,448,03/24/2020,0,3,KP,35
11,1407,110,1407,03/24/2020,0,1,Balochistan,109
12,60,1,60,03/24/2020,0,0,AJK,1
13,310,80,500,03/24/2020,0,1,GB,79
5,236,18,459,03/25/2020,2,0,ICT,16
6,257,296,1436,03/25/2020,2,1,Punjab,293
8,238,407,1579,03/25/2020,14,1,Sindh,392
9,538,78,566,03/25/2020,0,3,KP,75
10,1437,110,1437,03/25/2020,0,1,Balochistan,109
11,65,1,66,03/25/2020,0,0,AJK,1
12,347,81,580,03/25/2020,0,1,GB,80
5,255,25,561,03/26/2020,2,0,ICT,8
6,257,323,1436,26-Mar-2020,3,2,Punjab,318
8,295,413,1592,26-Mar-2020,14,1,Sindh,398
9,694,80,704,26-Mar-2020,2,3,KP,75
10,1437,131,1455,26-Mar-2020,0,1,Balochistan,130
12,77,1,77,26-Mar-2020,0,0,AJK,1
13,347,84,624,26-Mar-2020,0,1,GB,83
5,712,25,712,27-Mar-2020,2,0,ICT,12
6,1298,408,2257,27-Mar-2020,3,3,Punjab,402
7,4456,417,1592,27-Mar-2020,14,1,Sindh,402
8,704,123,917,27-Mar-2020,2,3,KP,118
9,1494,131,1512,27-Mar-2020,0,1,Balochistan,130
